epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9786,1.89968,3.36023,1.16716,0.3962,0.51658,0.48431,0.27762,1.44665,2.4884,0.97505,0.000412037,0.000412037,0.000412037
2,44.4566,1.5492,1.79466,1.00552,0.74097,0.7104,0.79822,0.51538,1.36088,1.54163,0.99085,0.000812295,0.000812295,0.000812295
3,62.7518,1.48347,1.50582,1.00568,0.62669,0.68481,0.74109,0.47044,1.34988,1.76404,0.99842,0.00119605,0.00119605,0.00119605
4,81.3249,1.40406,1.35242,0.99254,0.67739,0.86695,0.82984,0.5032,1.32791,1.22956,0.99713,0.00117575,0.00117575,0.00117575
5,99.5168,1.33216,1.23209,0.97881,0.72077,0.97018,0.9149,0.59538,1.23056,1.06689,0.96023,0.001151,0.001151,0.001151
6,117.83,1.32372,1.14848,0.95486,0.87906,0.93458,0.95209,0.63859,1.21836,0.92812,0.95277,0.00112625,0.00112625,0.00112625
7,135.95,1.31337,1.08139,0.97364,0.88651,0.921,0.95221,0.64122,1.21978,0.89453,0.95786,0.0011015,0.0011015,0.0011015
8,153.733,1.28028,1.05755,0.95573,0.91675,0.95297,0.97567,0.6642,1.18667,0.88188,0.94067,0.00107675,0.00107675,0.00107675
9,171.992,1.30149,1.05215,0.9624,0.89038,0.93815,0.9773,0.6743,1.17836,0.83259,0.94034,0.001052,0.001052,0.001052
10,189.974,1.25731,0.94061,0.94581,0.92353,0.96708,0.98141,0.66228,1.24426,0.78147,0.95305,0.00102725,0.00102725,0.00102725
11,207.791,1.26597,0.92865,0.9524,0.93087,0.97178,0.98361,0.67212,1.17609,0.79895,0.93399,0.0010025,0.0010025,0.0010025
12,225.951,1.24217,0.87065,0.93688,0.98493,0.97771,0.99315,0.68535,1.18625,0.72224,0.93223,0.00097775,0.00097775,0.00097775
13,244.153,1.23702,0.86539,0.94684,0.95733,0.98646,0.99419,0.68078,1.18292,0.7373,0.93779,0.000953,0.000953,0.000953
14,262.413,1.22888,0.82362,0.95244,0.97185,0.98997,0.99312,0.69181,1.16906,0.65882,0.93422,0.00092825,0.00092825,0.00092825
15,280.379,1.21914,0.80471,0.95632,0.97918,0.98564,0.99331,0.69427,1.16276,0.66968,0.92654,0.0009035,0.0009035,0.0009035
16,298.61,1.20367,0.78675,0.93718,0.98139,0.9987,0.9948,0.68405,1.16264,0.63749,0.92819,0.00087875,0.00087875,0.00087875
17,316.578,1.21807,0.74978,0.93926,0.98993,0.99862,0.99455,0.69489,1.16347,0.6223,0.92485,0.000854,0.000854,0.000854
18,334.608,1.20092,0.76016,0.94451,0.99247,0.99798,0.99469,0.70173,1.13809,0.62897,0.92321,0.00082925,0.00082925,0.00082925
19,352.822,1.15788,0.70924,0.92843,0.99247,0.99496,0.99484,0.70071,1.15651,0.60071,0.92531,0.0008045,0.0008045,0.0008045
20,370.699,1.17069,0.71439,0.93526,0.99147,1,0.99492,0.70202,1.14897,0.60521,0.92101,0.00077975,0.00077975,0.00077975
21,388.794,1.16632,0.69882,0.93313,0.99178,0.99874,0.99494,0.7069,1.13568,0.58204,0.91645,0.000755,0.000755,0.000755
22,406.704,1.19323,0.69879,0.93573,0.98807,0.99478,0.99488,0.70831,1.14034,0.56994,0.92064,0.00073025,0.00073025,0.00073025
23,424.976,1.16894,0.68423,0.92936,0.98688,0.99716,0.99472,0.70949,1.1316,0.55796,0.91845,0.0007055,0.0007055,0.0007055
24,442.852,1.15833,0.6746,0.92147,0.98873,0.99905,0.99479,0.7088,1.13155,0.57111,0.91526,0.00068075,0.00068075,0.00068075
25,460.612,1.1573,0.67271,0.93259,0.99114,0.99726,0.99487,0.70147,1.14707,0.55808,0.92183,0.000656,0.000656,0.000656
26,478.477,1.1567,0.66035,0.92987,0.98882,0.99951,0.995,0.70777,1.12288,0.55592,0.91495,0.00063125,0.00063125,0.00063125
27,496.653,1.1532,0.65526,0.93039,0.99232,0.99708,0.99495,0.70477,1.13436,0.55394,0.91438,0.0006065,0.0006065,0.0006065
28,514.048,1.14725,0.65733,0.92414,0.98968,0.99886,0.99494,0.70469,1.14351,0.54391,0.91657,0.00058175,0.00058175,0.00058175
29,531.776,1.13889,0.63203,0.92339,0.98999,0.99988,0.99466,0.71018,1.13147,0.52504,0.9158,0.000557,0.000557,0.000557
30,549.693,1.13822,0.6247,0.91004,0.98982,0.99914,0.9947,0.70929,1.12052,0.52703,0.90969,0.00053225,0.00053225,0.00053225
31,567.323,1.11639,0.61381,0.91676,0.99112,0.99882,0.995,0.70829,1.11993,0.53242,0.91375,0.0005075,0.0005075,0.0005075
32,584.696,1.13882,0.61556,0.91182,0.99184,1,0.995,0.70601,1.13154,0.52123,0.91617,0.00048275,0.00048275,0.00048275
33,602.379,1.0949,0.59332,0.90475,0.99298,0.99827,0.99482,0.70756,1.11787,0.51825,0.91226,0.000458,0.000458,0.000458
34,620.765,1.12721,0.59914,0.9194,0.99349,0.99883,0.99478,0.70995,1.13287,0.51288,0.91387,0.00043325,0.00043325,0.00043325
35,638.53,1.11861,0.60348,0.93073,0.99344,0.99647,0.99499,0.70325,1.13596,0.51431,0.91842,0.0004085,0.0004085,0.0004085
36,656.824,1.10611,0.59176,0.91418,0.99196,0.99667,0.99488,0.70988,1.13097,0.50815,0.91435,0.00038375,0.00038375,0.00038375
37,674.875,1.10587,0.58363,0.91987,0.98932,1,0.9947,0.71601,1.11575,0.50348,0.91173,0.000359,0.000359,0.000359
38,692.692,1.09934,0.58579,0.90946,0.99036,0.99889,0.99473,0.716,1.11158,0.49879,0.9087,0.00033425,0.00033425,0.00033425
39,711.205,1.09392,0.57903,0.91621,0.99547,0.99898,0.99489,0.71629,1.10978,0.49512,0.90745,0.0003095,0.0003095,0.0003095
40,729.26,1.09938,0.57404,0.91011,0.9938,0.99865,0.99485,0.71474,1.11022,0.49299,0.90829,0.00028475,0.00028475,0.00028475
41,757.533,1.09438,0.61358,0.91272,0.99348,0.99819,0.99493,0.70813,1.13379,0.50941,0.91324,0.00026,0.00026,0.00026
42,775.87,1.09638,0.59597,0.90681,0.99148,0.99974,0.9949,0.71397,1.11678,0.5017,0.9111,0.00023525,0.00023525,0.00023525
43,793.814,1.09456,0.58595,0.90458,0.99055,1,0.99482,0.71521,1.11779,0.50145,0.90995,0.0002105,0.0002105,0.0002105
44,811.547,1.07619,0.56317,0.90838,0.99398,0.99926,0.99492,0.71637,1.1102,0.49208,0.90977,0.00018575,0.00018575,0.00018575
45,829.55,1.07318,0.56444,0.91152,0.9941,0.99848,0.99488,0.7159,1.11568,0.48947,0.91171,0.000161,0.000161,0.000161
